Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,TCC_HIT_sum,TCC_MISS_sum,TCC_READ_sum,TCC_WRITE_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum
37,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848540877625,213848540879508,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
38,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848541219573,213848541221576,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
39,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848541541251,213848541543294,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
40,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848541871342,213848541873345,0,2642.000000,1088.000000,1682.000000,2048.000000,8192.000000,8192.000000
41,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848542190777,213848542192780,0,4718.000000,1088.000000,1710.000000,4096.000000,8192.000000,8192.000000
42,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848542524753,213848542526756,0,4676.000000,1088.000000,1668.000000,4096.000000,8192.000000,8192.000000
43,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848542853161,213848542855205,0,4676.000000,1088.000000,1668.000000,4096.000000,32768.000000,32768.000000
44,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848543195631,213848543197674,0,4732.000000,1088.000000,1724.000000,4096.000000,32768.000000,32768.000000
45,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848543520073,213848543522156,0,2670.000000,1088.000000,1710.000000,2048.000000,8192.000000,8192.000000
46,8,1,43717,43717,16384,256,0,0,8,0,16,64,"bitonic_sort_kernel(unsigned int*, unsigned int, unsigned int, bool) (.kd)",213848543856573,213848543858576,0,2698.000000,1088.000000,1738.000000,2048.000000,8192.000000,8192.000000
